source_set,card_file,def_id,current_name,display_name,cost,base_power,tribes,frame,rules_text,flavor_text,ability_triggers,ability_kinds,complexity_flags,proposed_name,proposed_type,status,role,theme_fit_1_5,clarity_1_5,fun_1_5,uniqueness_1_5,priority,problem,suggested_fix,notes
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/bone-market/card.json,bone-market,Bone Market,BONE MARKET,4,4,Tech,rare,"On Reveal: Add a random card to your hand, then destroy your lowest-Power card here.",Fair exchange is no robbery.,onReveal,COST_RANGE; CREATE_CARD_IN_ZONE; DESTROY; HAND; MIN_POWER_OF; SAME_LANE; SELF; SEQUENCE,many_effect_kinds; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/borrowed-gun/card.json,borrowed-gun,Borrowed Gun,BORROWED GUN,1,3,Tech; Military,common,End of Turn: Destroy this if it was created.,Returns to the lender one way or another.,onEndOfTurn,CONDITIONAL; DESTROY; SELF; WAS_CREATED,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/camera-rat/card.json,camera-rat,Camera Rat,CAMERA RAT,1,2,Hacker; Drone,common,"On Reveal: If your opponent has 5 or more cards in hand, gain +2 Power.",Watches the hand. Reports to the boss.,onReveal,ADD_POWER; CONDITIONAL; HAND_SIZE; LIT; NUM_CMP; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/capacitor-drone/card.json,capacitor-drone,Capacitor Drone,CAPACITOR DRONE,2,2,Drone; Tech,common,"End of Turn: If you have unspent Energy, gain +1 Power.",Charges on patience.,onEndOfTurn,ADD_POWER; CONDITIONAL; HAS_UNSPENT_ENERGY; LIT; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/cheap-drone/card.json,cheap-drone,Cheap Drone,CHEAP DRONE,1,1,Drone,common,,Expendable by design.,,,missing_rules_text; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/chop-doc/card.json,chop-doc,Chop Doc,CHOP DOC,2,2,Bio,common,On Reveal: Destroy your lowest-Power card here.,The weakest part is always the first to go.,onReveal,DESTROY; MIN_POWER_OF; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/chrome-broker/card.json,chrome-broker,Chrome Broker,CHROME BROKER,2,1,Bio; Merc,common,On Reveal: Add a random Bio card to your hand.,Flesh is inventory.,onReveal,CREATE_CARD_IN_ZONE; DECK_BY_TRIBE; HAND,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/chrome-surgeon/card.json,chrome-surgeon,Chrome Surgeon,CHROME SURGEON,2,2,Bio,common,On Reveal: Give the first card in your hand +2 Power.,What's in your hand will serve you better now.,onReveal,ADD_POWER; ALL_CARDS; FIRST_N; LIT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/citywide-mesh/card.json,citywide-mesh,Citywide Mesh,CITYWIDE MESH,6,5,AI,legendary,Ongoing: All your other cards have +1 Power.,Every node is stronger for the network.,ongoing,ALL_CARDS; LIT; POWER_ADD,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/clean-operator/card.json,clean-operator,Clean Operator,CLEAN OPERATOR,3,4,Merc,common,On Reveal: Replace your lowest-Power card in hand with a random 3-Cost card.,Trade up. Always trade up.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/corruption-bloom/card.json,corruption-bloom,Corruption Bloom,CORRUPTION BLOOM,4,4,AI; Hacker,rare,Ongoing: Enemy cards here with reduced Power have -1 Power.,What is weakened keeps weakening.,ongoing,LIT; POWER_ADD; POWER_REDUCED; SAME_LANE; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/crash-dummy/card.json,crash-dummy,Crash Dummy,CRASH DUMMY,1,2,Drone,common,When Destroyed: Draw a card.,Designed to fail perfectly.,onDestroyed,DRAW; LIT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/crowd-surge/card.json,crowd-surge,Crowd Surge,CROWD SURGE,4,4,Merc,rare,On Reveal: +1 Power for each card you played this turn.,Momentum counts every body.,onReveal,ADD_POWER; SELF; TRACKED_STAT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/data-leech/card.json,data-leech,Data Leech,DATA LEECH,3,3,Hacker,epic,On Reveal: Add a copy of the top card of your opponent's deck to your hand.,Takes the best card before you can draw it.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/dead-drop/card.json,dead-drop,Dead Drop,DEAD DROP,3,1,Tech,rare,On Reveal: Add a random card to your hand that costs 1 less next turn.,Free for one turn. Then you owe.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/debt-collector/card.json,debt-collector,Debt Collector,DEBT COLLECTOR,4,6,Corp; Merc,epic,On Reveal: +1 Power for each Cost you reduced this game.,"Every discount you took, she remembers.",onReveal,ADD_POWER; SELF; TRACKED_STAT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/deck-worm/card.json,deck-worm,Deck Worm,DECK WORM,2,2,Hacker; AI,rare,On Reveal: Give the top card of your opponent's deck -3 Power.,It finds the next card before they do.,onReveal,ADD_POWER; ALL_CARDS; FIRST_N; LIT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/delayed-payload/card.json,delayed-payload,Delayed Payload,DELAYED PAYLOAD,5,7,Tech; Military,epic,Ongoing: Costs 2 less if you spent no Energy last turn.,The most dangerous turn is the one you passed.,ongoing,COST_ADD; IF_ELSE; LIT; SELF; TRACKED_FLAG,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/distributed-mind/card.json,distributed-mind,Distributed Mind,DISTRIBUTED MIND,5,4,AI,epic,Ongoing: Your cards at full locations have +2 Power.,Density produces clarity.,ongoing,ALL_CARDS; IN_FULL_LANE; LIT; POWER_ADD; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/drone-printer/card.json,drone-printer,Drone Printer,DRONE PRINTER,2,1,Drone; Tech,common,On Reveal: Add a 1-Power Drone here.,Production never sleeps.,onReveal,CREATE_CARD_IN_ZONE; DEF_ID_LIST; LANE; LANE_OF; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/drone-pup/card.json,drone-pup,Drone Pup,DRONE PUP,1,1,Drone,common,When Destroyed: Add a 1-Power Drone to your hand.,Every unit spawns a replacement.,onDestroyed,CREATE_CARD_IN_ZONE; DEF_ID_LIST; HAND,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/emp-grenade/card.json,emp-grenade,EMP Grenade,EMP GRENADE,3,2,Military; Tech,epic,On Reveal: Disable Ongoing effects here this turn.,Silence is the loudest weapon.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/escape-route/card.json,escape-route,Escape Route,ESCAPE ROUTE,5,6,Tech,epic,Ongoing: Your cards that have moved this game have +1 Power.,Movement is remembered.,ongoing,ALL_CARDS; EVER_MOVED; LIT; POWER_ADD; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/executive-override/card.json,executive-override,Executive Override,EXECUTIVE OVERRIDE,6,5,Corp,legendary,On Reveal: Destroy another friendly card here and copy its On Reveal text.,"Authority is acquired, not assigned.",onReveal,COPY_TEXT_OF; DESTROY; MIN_COST_OF; SAME_LANE; SELF; SEQUENCE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/exploit-artist/card.json,exploit-artist,Exploit Artist,EXPLOIT ARTIST,5,6,Hacker; Merc,epic,"On Reveal: If your opponent played a card here this turn, destroy it.",Plays the vulnerability the moment it opens.,onReveal,CONDITIONAL; DESTROY; EXISTS; HAS_TAG; SAME_LANE; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/firewall-daemon/card.json,firewall-daemon,Firewall Daemon,FIREWALL DAEMON,4,4,AI; Hacker,rare,Ongoing: Enemy cards with disabled text have -2 Power.,What can't run is already losing.,ongoing,LIT; POWER_ADD; SAME_LANE; SELF; TEXT_DISABLED; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/gang-lookout/card.json,gang-lookout,Gang Lookout,GANG LOOKOUT,1,1,Merc,common,"After a card is played here, gain +1 Power.",Watches every play. Learns from every play.,onAnyCardPlayedHere,ADD_POWER; LIT; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/getaway-driver/card.json,getaway-driver,Getaway Driver,GETAWAY DRIVER,3,4,Merc,rare,On Reveal: Move one of your other cards here to another location.,Knows which door leads out.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/ghost-vendor/card.json,ghost-vendor,Ghost Vendor,GHOST VENDOR,4,4,Hacker; Merc,rare,On Reveal: Replace a created card in your hand with one that costs 1 more.,Trade the knockoff for something real.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/golden-parachute/card.json,golden-parachute,Golden Parachute,GOLDEN PARACHUTE,1,1,Corp,common,When Destroyed: Add a copy of this to your hand.,The exit strategy was always the plan.,onDestroyed,CREATE_CARD_IN_ZONE; DEF_ID_LIST; HAND,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/grey-goo-bloom/card.json,grey-goo-bloom,Grey Goo Bloom,GREY GOO BLOOM,5,6,AI; Tech,epic,"End of Turn: If this location is full, give your cards here +1 Power.","When the lane is full, the system matures.",onEndOfTurn,ADD_POWER; CONDITIONAL; FOREACH; LANE_FULL; LIT; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/grey-market-cache/card.json,grey-market-cache,Grey Market Cache,GREY MARKET CACHE,3,2,Tech,common,On Reveal: Reduce the Cost of a created card in your hand by 2.,No provenance. No problem.,onReveal,ADJUST_COST; ALL_CARDS; LIT; RANDOM_N; SELF; WAS_CREATED; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/grinder-crew/card.json,grinder-crew,Grinder Crew,GRINDER CREW,2,3,Merc,common,On Reveal: Destroy another friendly card here and gain +3 Power.,They make room the old-fashioned way.,onReveal,ADD_POWER; CONDITIONAL; DESTROY; EXISTS; LIT; RANDOM_N; SAME_LANE; SELF,many_effect_kinds; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/gutter-legion/card.json,gutter-legion,Gutter Legion,GUTTER LEGION,5,5,Merc,epic,Ongoing: Your full locations have +3 Power.,A full block belongs to the gang.,ongoing,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/hard-reset/card.json,hard-reset,Hard Reset,HARD RESET,5,5,AI; Hacker,epic,On Reveal: Reset all cards here to base Power.,Everything goes back to factory.,onReveal,FOREACH; RESET_POWER; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/hive-riot/card.json,hive-riot,Hive Riot,HIVE RIOT,6,4,Drone; AI,legendary,On Reveal: Give your 1-Cost cards +2 Power.,"When the swarm revolts, everyone pays.",onReveal,ADD_POWER; ALL_CARDS; COST_CMP; FOREACH; LIT; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/hostile-recruiter/card.json,hostile-recruiter,Hostile Recruiter,HOSTILE RECRUITER,3,3,Corp,rare,On Reveal: Copy the Ongoing text of your lowest-Cost card here.,Your talents belong to us now.,onReveal,COPY_TEXT_OF; MIN_COST_OF; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/hot-merchandise/card.json,hot-merchandise,Hot Merchandise,HOT MERCHANDISE,5,9,Tech,epic,On Reveal: Destroy this at the end of next turn.,Magnificent until it isn't yours.,onReveal,ADD_PENDING; DESTROY; SCHEDULED; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/hr-algorithm/card.json,hr-algorithm,HR Algorithm,HR ALGORITHM,3,2,AI; Corp,rare,Ongoing: Your cards with copied text have +2 Power.,Performance metrics have been optimised.,ongoing,ALL_CARDS; HAS_COPIED_TEXT; LIT; POWER_ADD; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/illegal-clone/card.json,illegal-clone,Illegal Clone,ILLEGAL CLONE,2,2,Bio,rare,When Destroyed: Add a copy of this to your hand.,The copy protests just as loudly.,onDestroyed,CREATE_CARD_IN_ZONE; DEF_ID_LIST; HAND,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/illegal-implant/card.json,illegal-implant,Illegal Implant,ILLEGAL IMPLANT,5,8,Bio; Tech,epic,Ongoing: Costs 1 less if you reduced a card's Cost this game.,The market rewarded the rule-breaker.,ongoing,COST_ADD; IF_ELSE; LIT; SELF; TRACKED_FLAG,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/junk-card/card.json,junk-card,Junk,JUNK,1,0,,common,,Corrupted. Useless. Unavoidable.,,,missing_rules_text; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/junk-packet/card.json,junk-packet,Junk Packet,JUNK PACKET,1,1,Hacker; Tech,common,On Reveal: Add a 0-Power Junk card to your opponent's deck.,Worthless data travels fastest.,onReveal,CREATE_CARD_IN_ZONE; DECK; DEF_ID_LIST,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/kill-switch/card.json,kill-switch,Kill Switch,KILL SWITCH,4,4,Hacker; Tech,epic,On Reveal: Remove copied text from all cards here.,The deal is off. All of it.,onReveal,FOREACH; REMOVE_COPIED_TEXT; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/kingpin-broker/card.json,kingpin-broker,Kingpin Broker,KINGPIN BROKER,6,7,Merc; Corp,legendary,On Reveal: Give your discounted cards here +2 Power.,He discounted them. Now they serve him.,onReveal,ADD_POWER; COST_REDUCED; FOREACH; LIT; SAME_LANE; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/knockoff-cyberarm/card.json,knockoff-cyberarm,Knockoff Cyberarm,KNOCKOFF CYBERARM,3,5,Bio; Tech,rare,End of Turn: Destroy this if it has increased Power.,Works great. Right up until it doesn't.,onEndOfTurn,CONDITIONAL; DESTROY; POWER_INCREASED; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/loaded-suit/card.json,loaded-suit,Loaded Suit,LOADED SUIT,5,8,Corp,common,,The money did the talking before they walked in.,,,missing_rules_text; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/maintenance-cloud/card.json,maintenance-cloud,Maintenance Cloud,MAINTENANCE CLOUD,3,2,AI; Drone,common,End of Turn: Give your lowest-Power card here +1 Power.,Constant incremental correction.,onEndOfTurn,ADD_POWER; LIT; MIN_POWER_OF; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/meat-grinder/card.json,meat-grinder,Meat Grinder,MEAT GRINDER,5,6,Tech,epic,On Reveal: Destroy all 1-Cost cards here and gain +2 Power each.,The cheap parts make the best fuel.,onReveal,ADD_POWER; COST_CMP; COUNT; DESTROY; FOREACH; LIT; MUL; SAME_LANE; SELF; SEQUENCE; WHERE,many_effect_kinds; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/memory-burner/card.json,memory-burner,Memory Burner,MEMORY BURNER,2,4,Hacker,rare,On Reveal: Discard the lowest-Cost card in your hand.,What you lose you can't be questioned about.,onReveal,ALL_CARDS; DISCARD; MIN_COST_OF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/metro-enforcer/card.json,metro-enforcer,Metro Enforcer,METRO ENFORCER,4,7,Military,rare,Ongoing: +2 Power if this is your only card here.,Alone in the lane. Exactly how they like it.,ongoing,EXISTS; IF_ELSE; LIT; NOT; POWER_ADD; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/middle-manager/card.json,middle-manager,Middle Manager,MIDDLE MANAGER,2,2,Corp,rare,On Reveal: Destroy your lowest-Cost card here and copy its On Reveal text.,Acquisition begins with paperwork.,onReveal,COPY_TEXT_OF; DESTROY; MIN_COST_OF; SAME_LANE; SELF; SEQUENCE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/military-fixer/card.json,military-fixer,Military Fixer,MILITARY FIXER,3,2,Military; Merc,rare,On Reveal: Add two random 4–5 Cost cards to your hand.,"Heavy assets, low profile.",onReveal,COST_RANGE; CREATE_CARD_IN_ZONE; HAND; SEQUENCE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/nano-swarm/card.json,nano-swarm,Nano Swarm,NANO SWARM,1,1,AI; Tech,common,Ongoing: +1 Power for each other friendly card here.,The collective is the organism.,ongoing,COUNT; POWER_ADD; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/neon-courier/card.json,neon-courier,Neon Courier,NEON COURIER,2,3,Merc,common,On Reveal: Move this to another location.,Never where you left them.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/neon-singularity/card.json,neon-singularity,Neon Singularity,NEON SINGULARITY,6,6,AI; Tech,legendary,On Reveal: +2 Power for each Energy you had unspent last turn.,Patience converts to power at the moment of impact.,onReveal,ADD_POWER; LIT; MUL; SELF; TRACKED_STAT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/network-queen/card.json,network-queen,Network Queen,NETWORK QUEEN,5,7,Merc; Hacker,epic,On Reveal: Give your created cards in hand +2 Power.,What you have is what she made you want.,onReveal,ADD_POWER; ALL_CARDS; FOREACH; LIT; SELF; WAS_CREATED; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/night-market-scout/card.json,night-market-scout,Night Market Scout,NIGHT MARKET SCOUT,1,1,Merc,common,"On Reveal: If your hand is empty, draw a card.",Empty hands don't survive long.,onReveal,CONDITIONAL; DRAW; HAND_EMPTY; LIT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/null-saint/card.json,null-saint,Null Saint,NULL SAINT,6,8,Hacker; AI,legendary,On Reveal: Remove all text from enemy cards here.,"When Null Saint arrives, their rules stop.",onReveal,FOREACH; REMOVE_TEXT; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/overclock-chip/card.json,overclock-chip,Overclock Chip,OVERCLOCK CHIP,1,0,Tech,epic,On Reveal: Give a friendly card here +5 Power. Destroy it at end of next turn.,Five seconds of perfect. Then the bill.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/pack-tactics/card.json,pack-tactics,Pack Tactics,PACK TACTICS,3,2,Military; Merc,common,On Reveal: Give your other cards here +1 Power.,A crowd is a weapon.,onReveal,ADD_POWER; FOREACH; LIT; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/panopticon-ai/card.json,panopticon-ai,Panopticon AI,PANOPTICON AI,5,5,AI; Hacker,epic,Ongoing: Enemy cards added to hand have -1 Power.,Every card they draw arrives weaker.,ongoing,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/parts-collector/card.json,parts-collector,Parts Collector,PARTS COLLECTOR,3,4,Merc,rare,On Reveal: +1 Power for each card you destroyed this game.,The count is the currency.,onReveal,ADD_POWER; SELF; TRACKED_STAT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/predictive-cop/card.json,predictive-cop,Predictive Cop,PREDICTIVE COP,3,3,AI; Military,rare,"On Reveal: If your opponent played a card here this turn, gain +4 Power.",The crime was already calculated.,onReveal,ADD_POWER; CONDITIONAL; EXISTS; HAS_TAG; LIT; SAME_LANE; SELF; WHERE,many_effect_kinds; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/procurement-bot/card.json,procurement-bot,Procurement Bot,PROCUREMENT BOT,1,1,Drone; Tech,rare,Ongoing: Your created cards in hand cost 1 less.,Unauthorised discounts are still discounts.,ongoing,ALL_CARDS; COST_ADD; LIT; SELF; WAS_CREATED; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/quiet-protocol/card.json,quiet-protocol,Quiet Protocol,QUIET PROTOCOL,2,0,AI; Hacker,rare,Ongoing: Your cards have +1 Power if you ended last turn with unspent Energy.,Discipline propagates.,ongoing,ALL_CARDS; IF_ELSE; LIT; POWER_ADD; TRACKED_FLAG,missing_portrait,,,,,,,,,,,,
